Winner,TitleBout,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,draw_diff,avg_sig_str_pct_diff,avg_TD_pct_diff,M_DEC_diff,S_DEC_diff,U_DEC_diff,TKO_diff,odds_diff,ev_diff,Stance_diff
1,1,0,-6,-6,-12,-3,-42,-3,-2,-4,7.62,5.08,-3,-4.41,-0.8,-2.61,-1,0,-0.49,-0.47,0,-2,-4,0,465.0,175.0,0
1,0,0,2,2,2,0,9,0,2,-5,5.08,-7.62,-3,1.38,-1.5,-0.72,-1,0,-0.05999999999999994,0.26000000000000006,0,1,4,0,505.0,247.381,0
1,0,0,3,-3,3,2,11,-3,2,-1,7.62,-2.54,2,-0.36,-0.3,-0.13,-1,0,-0.030000000000000027,0.42000000000000004,0,1,1,0,680.0,273.6842,0
1,0,1,0,-5,-6,0,-15,0,0,0,-2.54,0.0,6,1.44,-1.1,-2.98,-1,0,-0.13999999999999996,-0.15999999999999998,-1,0,-5,0,1575.0,614.4737,0
0,0,0,0,0,-1,0,-2,0,3,-2,2.54,-5.08,-3,-1.84,-0.2,-0.25,0,1,0.07,-0.03999999999999998,-1,0,-1,0,240.0,33.076899999999995,0
1,0,1,-1,-3,8,8,42,-1,3,5,0.0,-2.54,2,-1.63,0.3,0.11,-1,0,-0.010000000000000009,-0.020000000000000018,0,0,0,0,680.0,273.6842,1
1,0,-1,4,-2,-11,-5,-35,0,-7,-5,5.08,5.08,0,-1.96,0.0,3.89,-1,0,0.08999999999999997,0.12,0,-1,2,0,488.0,46.3438,0
1,0,0,-7,1,8,4,33,5,2,4,0.0,-2.54,5,0.18,0.5,-2.44,-1,0,0.040000000000000036,-0.19,0,1,0,0,433.0,152.9832,0
0,0,0,0,-1,-7,-4,-27,0,0,-1,-5.08,-2.54,-4,1.06,-0.1,0.24,0,0,0.06000000000000005,-0.16,0,-1,-5,0,-330.0,-94.4444,0
0,0,0,0,-7,-4,1,-2,-5,0,-3,-2.54,-7.62,-3,0.23,-0.7,-1.65,0,0,0.019999999999999962,-0.15999999999999998,0,1,-2,0,4.0,3.306899999999999,-1
0,0,0,0,-1,-2,-3,-10,0,0,-1,-5.08,-5.08,-10,5.04,-0.9,-2.74,-1,-1,0.030000000000000027,0.13,0,1,-2,0,-312.0,-83.1765,1
1,0,0,0,-1,-4,1,3,-1,3,-7,-5.08,2.54,2,2.06,-0.7,-1.9,0,0,0.08999999999999997,-0.10000000000000003,1,2,-3,0,240.0,33.076899999999995,1
0,0,-2,3,-1,-13,-16,-82,-2,0,-2,15.24,10.16,-17,2.44,1.7,-1.68,0,0,0.19,-0.12,0,-4,-7,0,-1800.0,-690.9091,-1
1,0,1,-1,-2,-7,-1,-17,0,-6,0,-2.54,-12.7,0,-0.44,0.3,-0.12,0,0,0.030000000000000027,0.04999999999999999,0,-1,0,0,960.0,391.8182,1
1,0,0,2,-2,4,-1,-1,2,0,4,-5.08,2.54,5,-2.2,1.3,0.01,-1,1,0.0,-0.14999999999999997,0,1,-1,0,550.0,212.2131,2
1,0,-1,2,-2,-2,-1,-12,-1,-1,1,-10.16,-5.08,-6,-0.81,0.1,1.82,-1,0,-0.09000000000000002,-0.36,-1,1,-2,0,362.0,113.4949,0
0,0,0,0,3,1,0,3,0,0,0,-2.54,-2.54,6,-1.11,0.0,0.66,0,0,0.02999999999999997,0.020000000000000018,0,2,-1,0,280.0,63.333299999999994,0
0,0,0,-1,-1,-1,2,7,0,-1,-1,0.0,0.0,-1,-2.35,-2.0,-0.6,0,0,0.0,-0.32,0,1,0,0,1700.0,739.4737,0
0,0,0,4,3,-1,-5,-18,-1,1,0,5.08,5.08,-1,2.25,0.1,0.22,-1,0,0.08000000000000007,0.46,0,-2,0,0,-480.0,-177.26420000000002,0
1,0,1,-2,-2,-2,1,0,0,-2,0,5.08,10.16,8,-6.36,0.0,0.0,0,0,-0.12000000000000005,0.0,0,0,0,0,435.0,165.5556,0
0,0,0,0,0,0,-1,-2,0,0,-1,-7.62,-12.7,0,0.36,0.0,3.02,0,0,0.03999999999999998,-0.17000000000000004,0,1,0,0,-420.0,-146.5217,0
0,0,0,0,0,0,0,0,0,0,0,-12.7,-17.78,-4,0.49,-0.5,-0.46,0,0,0.14,-0.19,0,1,-1,0,-224.0,-20.032799999999995,-2
1,0,0,0,0,0,0,-2,0,1,0,12.7,15.24,-8,1.95,0.0,0.71,0,0,0.10999999999999999,0.84,0,-1,0,0,-870.0,-359.5918,-1
0,0,2,-2,0,1,3,11,0,0,-1,2.54,-10.16,5,0.77,-2.2,-0.82,0,0,0.07,-0.1,0,1,1,0,-224.0,-20.032799999999995,0
1,0,0,-1,-1,-1,0,-1,0,-1,0,7.62,0.0,-2,-0.29,1.0,0.0,0,0,-0.12,0.0,0,0,0,0,560.0,217.7419,-1
1,0,0,0,-2,-2,-1,-9,0,0,0,-5.08,0.0,7,-2.38,0.0,0.86,0,0,-0.15000000000000002,-0.01999999999999999,-1,-1,0,0,280.0,66.5556,0
0,0,0,0,-1,0,0,-1,0,1,0,-7.62,-2.54,7,-0.22,0.0,0.0,0,0,0.08000000000000002,0.0,0,-1,0,0,445.0,159.1837,0
1,1,1,-18,-12,-7,3,-28,-8,4,-6,0.0,-10.16,5,0.29,-0.5,-0.15,-1,0,-0.05999999999999994,-0.10999999999999999,0,-1,-4,0,960.0,391.8182,0
1,0,0,0,-8,-18,-7,-49,-2,-1,-15,-5.08,-7.62,3,1.09,-2.1,-0.66,-1,0,-0.050000000000000044,-0.030000000000000027,0,0,-2,0,480.0,177.26420000000002,0
1,0,2,-5,-1,4,8,28,0,2,2,5.08,0.0,8,-0.13,-2.2,-2.09,0,1,-0.19,-0.3,0,0,0,0,2150.0,792.5926,1
1,0,-1,5,3,-1,-5,-27,0,-1,4,2.54,-2.54,-7,-1.0,1.2,0.93,1,0,-0.08999999999999997,0.07,0,0,-4,0,-525.0,-200.5172,0
1,0,2,-2,-1,-1,2,3,0,-2,0,2.54,-5.08,-3,0.87,0.0,0.0,0,0,-0.18,0.0,0,0,1,0,1650.0,640.0,0
0,0,-1,3,-3,-7,-4,-34,0,-2,1,0.0,-2.54,4,1.62,0.4,0.08,-1,0,-0.010000000000000009,-0.019999999999999962,0,0,-6,0,-10.0,-8.281599999999997,1
1,0,0,0,-3,-20,-12,-69,0,-5,-10,7.62,0.0,-5,-0.03,-0.5,0.78,0,1,0.0,-0.12,0,-1,-4,0,-433.0,-152.9832,-1
1,0,0,-2,-2,-4,-2,-14,0,-2,-1,-7.62,-10.16,-6,-0.67,-0.6,-0.73,0,0,-0.030000000000000027,-0.2,0,0,-1,0,2300.0,843.1034,0
1,0,-1,3,-2,-9,-8,-43,0,-2,-1,2.54,2.54,-6,-0.21,-0.1,-1.42,-1,0,0.040000000000000036,-0.33,-1,0,-5,0,-10.0,-8.281599999999997,0
0,0,-2,0,-2,-4,-3,-13,0,0,-3,-10.16,-5.08,-1,-1.24,-0.1,0.36,0,0,-0.04999999999999999,0.02999999999999997,0,0,-1,0,312.0,83.1765,2
0,0,0,2,2,2,-1,3,0,0,0,2.54,0.0,-6,0.55,0.0,-0.05,0,0,0.10999999999999999,0.26,1,0,1,0,-560.0,-217.7419,0
0,0,1,-3,-1,-2,-3,-15,0,1,0,5.08,5.08,1,-0.52,0.1,3.44,0,0,0.03999999999999998,-0.06,0,-1,-2,0,280.0,63.333299999999994,1
0,0,-1,4,-3,-18,-11,-81,0,-2,-2,-5.08,-5.08,-6,0.96,-0.2,-1.68,-1,0,0.10999999999999993,0.62,0,-4,-10,0,-1350.0,-537.5,-2
0,0,0,-2,-3,-12,-9,-43,0,-1,-11,7.62,2.54,-2,0.14,-0.2,4.38,0,0,0.11999999999999994,0.030000000000000027,0,0,0,0,-560.0,-217.7419,0
1,0,-1,1,0,0,0,-1,0,0,0,-7.62,-2.54,-2,-1.64,1.0,1.19,0,0,-0.13,-0.33999999999999997,0,0,0,0,-455.0,-165.0,-1
0,0,-2,2,-2,7,4,24,0,1,7,7.62,2.54,-2,-0.53,0.8,0.88,-1,0,0.07999999999999996,0.06,0,-1,1,0,-830.0,-338.7234,0
1,0,1,-1,1,3,4,12,0,2,0,-2.54,-12.7,3,-1.26,0.0,0.92,0,0,0.029999999999999916,0.12,0,0,1,0,855.0,349.3814,0
0,0,-1,1,-2,-5,-6,-31,-1,2,-1,-2.54,-2.54,-15,-0.99,0.7,0.41,0,0,0.07,0.03,0,-1,-5,0,280.0,63.333299999999994,0
1,0,-1,0,-7,-10,-4,-40,0,-3,-1,10.16,2.54,-9,-1.93,-0.5,-0.7,0,-1,-0.03999999999999998,-0.2,0,-2,-4,0,280.0,63.333299999999994,0
0,0,-2,0,0,-3,-4,-21,0,-1,0,-10.16,-7.62,3,-0.39,-0.4,-0.42,0,0,0.11000000000000004,-0.44999999999999996,0,0,-2,0,280.0,63.333299999999994,2
0,0,0,0,-1,-5,-3,-24,0,0,1,10.16,20.32,-5,-0.02,1.4,0.0,0,0,0.009999999999999953,0.0,0,-2,-4,0,280.0,63.333299999999994,-2
1,0,1,-1,-1,-1,-1,-2,0,0,-1,15.24,10.16,3,-1.71,-0.9,-2.62,0,0,-0.040000000000000036,-0.64,0,0,0,0,280.0,63.333299999999994,2
1,0,-1,0,-1,-1,-1,-5,0,0,0,2.54,2.54,-8,-1.54,0.0,-1.53,0,0,-0.19000000000000006,-0.37,0,0,-1,0,280.0,63.333299999999994,0
1,0,-2,5,2,-4,-5,-40,-6,-2,-1,-5.08,-5.08,1,-1.27,0.1,-0.2,-1,-2,-0.08999999999999997,-0.14,0,0,-1,0,330.0,94.4444,0
1,0,-1,2,-3,5,4,33,7,2,0,2.54,-2.54,7,-1.53,-0.4,-0.4,-1,0,-0.020000000000000018,0.19,0,2,1,0,285.0,65.4839,0
0,0,0,0,0,0,0,-4,0,1,0,-2.54,7.62,-2,-2.66,0.4,1.27,0,0,-0.11000000000000004,0.5,0,0,-1,0,352.0,107.91669999999999,1
0,0,-1,2,-1,0,-4,-5,0,0,-1,2.54,2.54,5,-0.34,0.3,1.98,-1,0,0.030000000000000027,-0.12000000000000005,0,-1,2,0,-440.0,-150.0,0
0,0,-1,0,-1,-2,-2,-14,0,-1,0,-2.54,2.54,-2,-2.51,1.0,2.1,0,0,-0.02999999999999997,0.15999999999999998,0,0,-1,0,490.0,182.963,0
1,0,1,0,-1,3,5,24,0,2,-3,-2.54,2.54,0,-0.68,-0.5,-1.2,0,0,0.08000000000000002,-0.06000000000000005,0,2,2,0,670.0,268.3333,0
1,0,2,-4,0,5,7,34,0,1,3,-5.08,-7.62,2,1.32,0.5,0.32,0,0,-0.050000000000000044,0.01999999999999999,0,0,1,0,280.0,63.333299999999994,0
1,0,-2,2,0,-3,-6,-22,0,-1,-2,-5.08,-2.54,9,2.23,-0.2,0.5,0,-1,0.050000000000000044,0.15,0,1,-1,0,280.0,63.333299999999994,0
0,0,-1,2,-2,-1,1,4,0,0,-1,5.08,2.54,-1,-0.76,0.9,-0.88,0,1,-0.08999999999999997,-0.040000000000000036,0,-1,1,0,280.0,63.333299999999994,-2
1,0,0,0,-2,-1,-1,1,0,-1,-1,0.0,12.7,-2,-0.07,-0.4,-3.47,-1,0,-0.040000000000000036,-0.18000000000000005,0,1,0,0,280.0,63.333299999999994,1
1,0,0,0,1,1,1,5,0,0,0,-12.7,-5.08,0,0.48,-0.8,1.1,0,0,0.14,0.5,0,0,1,0,280.0,63.333299999999994,2
0,0,0,0,-1,-1,3,1,0,0,1,10.16,17.78,0,0.36,0.2,1.5,0,0,-0.020000000000000018,0.10000000000000003,0,-1,-1,0,280.0,63.333299999999994,0
1,0,-1,1,0,0,0,0,0,0,1,2.54,10.16,-4,-1.29,1.1,1.53,0,0,-0.17000000000000004,0.06,0,0,-1,0,280.0,63.333299999999994,-1
1,1,0,-4,6,15,7,82,8,7,1,10.16,0.0,5,2.47,-0.8,-1.77,-1,0,0.0,-0.07999999999999996,0,1,6,0,550.0,212.2131,0
0,0,0,5,-2,-10,-5,-52,-4,-4,3,5.08,5.08,-3,0.82,2.8,3.51,-1,0,0.14999999999999997,0.08000000000000002,1,-1,-9,0,-445.0,-159.1837,0
1,0,2,-10,-5,-4,2,-11,-1,-4,0,2.54,7.62,0,0.52,0.1,-0.26,-1,-1,-0.020000000000000018,-0.07999999999999999,0,0,0,0,610.0,240.5882,0
1,0,1,-6,0,5,7,29,0,2,2,-5.08,-5.08,0,-1.14,-0.4,-0.79,-1,-1,-0.09000000000000002,-0.28,0,1,0,0,610.0,240.5882,0
1,0,1,-3,-1,1,2,5,0,0,0,2.54,-5.08,3,-0.87,0.0,0.19,0,0,-0.13,0.33,0,1,0,0,306.0,79.759,0
1,0,0,-2,-2,-2,0,-4,0,-2,0,0.0,-2.54,6,-7.16,0.0,0.0,0,0,-0.4,0.0,0,0,0,0,-4.0,-3.306899999999999,-1
1,0,0,0,-1,13,10,81,4,-1,4,-7.62,-12.7,6,-1.57,0.5,1.39,-1,0,-0.040000000000000036,-0.15000000000000002,0,0,10,0,445.0,159.1837,0
1,0,-1,2,-2,-2,-1,-5,0,-1,-1,7.62,20.32,-5,-1.28,-0.4,1.52,0,0,0.0,-0.32,0,0,0,0,-480.0,-177.26420000000002,1
1,0,0,1,1,2,-1,-4,0,3,0,-10.16,-15.24,-3,1.11,0.2,-2.62,0,0,0.06,-0.48,0,0,-1,0,285.0,65.4839,0
1,0,-2,1,-2,-6,-3,-21,0,-3,-1,-20.32,-20.32,6,-1.13,-0.2,-0.58,0,0,0.0,-0.45,0,-1,-1,0,1350.0,537.5,1
1,0,0,-2,-2,-2,0,-5,0,0,0,-2.54,0.0,4,-1.09,0.7,-3.16,0,0,-0.11000000000000004,-0.10999999999999999,0,0,-2,0,1000.0,407.6087,0
1,0,2,0,2,2,3,7,0,4,0,5.08,0.0,7,0.44,-0.2,-0.82,0,0,-0.06000000000000005,-0.17,0,0,-2,0,272.0,56.4324,0
1,0,0,-4,-3,-4,0,-13,0,0,-1,-2.54,0.0,-3,2.35,-0.2,-2.95,0,-1,-0.09000000000000002,-0.09000000000000002,0,-1,-2,0,398.0,134.1284,0
1,0,0,3,3,3,0,6,0,1,-1,2.54,-5.08,0,-0.44,-1.5,-5.37,-1,0,-0.09999999999999998,0.08000000000000002,0,1,2,0,298.0,74.2716,0
1,0,-2,3,0,-3,-6,-25,0,-4,0,0.0,2.54,-8,-0.16,0.1,1.79,-1,0,-0.010000000000000009,0.16999999999999998,0,0,1,0,-1080.0,-439.0,0
1,0,2,-3,0,-2,-1,-13,0,-1,0,-2.54,5.08,-5,-0.05,0.5,-0.33,0,0,0.030000000000000027,0.01999999999999999,0,-1,0,0,550.0,212.2131,1
0,0,1,-1,-2,-4,-2,-16,0,-1,-2,5.08,-2.54,-1,2.45,-1.1,-0.33,0,0,-0.06,-0.11,0,0,-1,0,1000.0,407.6087,1
1,0,2,-1,-4,-13,-3,-45,0,-3,1,-7.62,-5.08,-1,-0.55,0.4,-1.44,0,0,0.10999999999999999,-0.10000000000000003,0,-2,-9,0,312.0,83.1765,0
0,0,-2,3,-1,-4,-3,-16,0,-1,0,-5.08,-2.54,-1,-1.2,0.9,3.86,-1,0,0.050000000000000044,0.07,0,-2,-1,0,-455.0,-165.0,0
0,0,0,1,0,-2,-3,-16,-1,0,1,0.0,10.16,-7,0.36,0.4,-0.75,0,0,-0.12,-0.07,0,0,-3,0,-375.0,-121.2195,0
1,0,0,0,-2,-3,-2,-17,0,1,0,-5.08,-5.08,-3,-1.57,0.1,-1.23,0,0,0.010000000000000009,-0.39,0,-2,-2,0,468.0,171.2403,0
0,0,-1,0,-1,-3,-2,-13,-1,-1,-3,-5.08,-10.16,-10,0.87,-0.5,-0.8,0,0,0.2,0.42,0,-1,2,0,-420.0,-146.5217,0
1,0,0,0,0,0,0,0,0,0,0,2.54,-10.16,5,1.07,0.0,0.5,0,0,-0.07,-0.09999999999999998,0,0,0,0,285.0,65.4839,1
1,0,-1,0,0,0,-2,-2,0,0,0,2.54,10.16,0,-0.36,0.0,-2.03,0,0,0.08999999999999997,-0.3,0,0,0,0,-755.0,-306.4706,0
1,0,0,5,3,0,-3,-9,-1,1,-1,-5.08,5.08,-8,-1.47,0.4,1.98,-1,0,0.20999999999999996,-0.31,0,-2,2,0,280.0,63.333299999999994,1
0,0,0,0,-1,-8,-6,-41,0,-2,3,-7.62,-2.54,-3,1.34,0.9,1.11,0,0,0.08000000000000002,0.20999999999999996,1,-2,-8,0,280.0,63.333299999999994,0
1,0,0,0,-2,-2,1,1,0,-2,1,-7.62,-7.62,-5,-0.19,0.2,0.91,0,0,-0.15000000000000002,0.45,0,-1,0,0,280.0,63.333299999999994,0
1,0,0,1,-4,-6,2,-11,0,-1,-4,-7.62,-5.08,0,0.82,-0.9,-0.27,0,-1,-0.10000000000000003,0.06,0,0,-1,0,680.0,273.6842,2
1,0,-2,0,0,5,3,24,0,0,1,-5.08,-5.08,-3,-2.54,0.2,-0.25,0,0,-0.08999999999999997,-0.29000000000000004,0,0,4,0,445.0,159.1837,1
0,0,-1,0,-2,-4,-3,-17,0,-2,0,-5.08,-12.7,-6,3.02,-0.2,0.0,0,0,-0.15000000000000008,0.0,0,-1,-1,0,-538.0,-206.44299999999998,0
0,0,-1,0,-1,-1,-1,-7,0,-3,1,-10.16,-2.54,1,-3.18,1.2,-1.05,0,0,0.04999999999999993,-0.06,0,0,1,0,330.0,94.4444,2
1,0,0,-2,-1,5,6,25,0,3,2,-2.54,-2.54,2,2.1,0.1,-3.85,0,0,-0.19,-0.36000000000000004,0,0,0,0,525.0,200.5172,0
1,0,-2,0,-1,-1,-3,-7,0,-1,0,0.0,5.08,3,3.95,0.0,2.07,0,0,-0.04999999999999999,0.12,0,0,0,0,433.0,152.9832,0
1,0,0,0,1,3,0,7,0,0,0,2.54,-12.7,-1,-2.63,-0.2,0.89,0,0,-0.16000000000000003,-0.33000000000000007,0,0,3,0,-4.0,-3.306899999999999,0
0,0,-1,1,0,0,-2,-11,0,0,1,0.0,2.54,-5,6.72,-0.6,-1.88,0,0,0.08000000000000002,0.020000000000000018,0,0,-1,0,-272.0,-56.4324,1
1,0,0,-1,-1,-1,0,-2,0,1,-1,-7.62,-5.08,-4,-2.56,-2.4,-2.95,0,0,-0.09000000000000002,-0.55,0,0,-1,0,445.0,159.1837,0
1,1,0,1,1,1,4,8,-4,1,0,-7.62,-7.62,-3,-1.73,-0.2,-0.14,-1,0,-0.25,-1.0,0,0,0,0,755.0,306.4706,-1
0,1,1,-6,-2,-6,-2,-28,1,2,-1,-2.54,5.08,-1,-0.85,0.2,0.98,-1,0,-0.04999999999999999,0.29000000000000004,0,-3,-4,0,285.0,65.4839,0
